"file","id","study_type","type","authors","title","source","year","vl","no","pg","country","identifiers"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Dorevitch-1999","PUB","JOURNAL_ARTICLE","Dorevith A, Katz N, Zemishlany Z, Aizenberg D, Weizman A","Intramuscular flunitrazepam versus intramuscular haloperidol in the emergency treatment of aggressive psychotic behavior","American Journal of Psychiatry","1999","156","","142-4","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Foster-1997","PUB","JOURNAL_ARTICLE","Foster S, Kessel J, Berman ME, Simpson GM","Efficacy of lorazepam and haloperidol for rapid tranquilization in a psychiatric emergency room setting","International Clinical Psychopharmacology","1997","12","","175-9","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Garza_x002d_Trevino-1989","PUB","JOURNAL_ARTICLE","Garza-Trevino ES, Hollister LE, Overall JE, Alexander WF","Efficacy of combinations of intramuscular antipsychotics and sedative-hypnotics for control of psychotic agitation","American Journal of Psychiatry","1989","146","","1598-601","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Gundlach-1966","PUB","JOURNAL_ARTICLE","Gundlach R, Engelhardt DM, Hankoff L, Paley H, Rudorfer L, Bird E","A Double-blind outpatient study of diazepam (Valium) and placebo","Psychopharmacologia","1966","9","","81-92","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Guz-1972","PUB","JOURNAL_ARTICLE","Guz I, Moraes R, Sartoretto JN","The therapeutic effects of lorazepam in psychotic patients treated with haloperidol - A double blind study","Current Therapeutic Research","1972","14","","767-74","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Guz-1972","PUB","JOURNAL_ARTICLE","Guz I","Lorazepam and haloperidol in the treatment of schizophrenic patients","Jornal Brasileiro de Psiquiatria","1988","37","","205-7","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Hankoff-1962","PUB","JOURNAL_ARTICLE","Hankoff L, Rudorfer L, Paly HM","A reference study of ataraxics. A two-week double blind outpatient evaluation","The Journal of New Drugs","1962","179","","173-8","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Hanlon-1969","PUB","JOURNAL_ARTICLE","Hanlon TE, Kay Y, Agallianos D, Berman A, Bethon C, Kolber F, et al","Combined drug treatment of newly hospitalized, acutely ill psychiatric patients","Diseases of the Nervous System","1969","30","","104-16","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Hanlon-1970","PUB","JOURNAL_ARTICLE","Hanlon TE, Ota KY, Kurland AA","Comparative effects of fluphenazine, fluphenazine-chlordiazepoxide and fluphenazine-imipramine","Diseases of the Nervous System","1970","31","","171-7","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Hanlon-1970","PUB","JOURNAL_ARTICLE","Hanlon TE, Robert JB, Kurland AA","Effects od control techniques on therapeutic outcome in a controlled trial","International Pharmacopsychiatry","1975","10","","169-76","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Holden-1968","PUB","JOURNAL_ARTICLE","Holden JMC, Holden UP","Weight changes with schizophrenic psychosis and psychotropic drug therapy","Psychosomatics","1970","11","","551-61","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Holden-1968","PUB","JOURNAL_ARTICLE","Holden JMC, Itil TM, Keskiner A, Fink M","Thioridazine and chlordiazepoxide, alone and combined, in the treatment of chronic schizophrenia","Comprehensive Psychiatry","1968","9","","633-43","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Holden-1968","PUB","JOURNAL_ARTICLE","Holden JMC, Itil TM","Laboratory changes with chlordiazepoxide and thioridazine, alone and combined","Canadian Psychiatric Association Journal","1969","14","","299-301","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Kurland-1966","PUB","JOURNAL_ARTICLE","Kurland AA , Bethon GD, Michaux MH, Agallianos DD","Chlorpromazine-chlordiazepoxide and chlorpromazine-imipramine treatment: side effects and clinical laboratory findings","Journal of New Drugs","1966","6","","80-95","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Kurland-1966","PUB","JOURNAL_ARTICLE","Michaux MH, Kurland AA, Agallianos DD","Chlorpromazine-chlordiazepoxide and chlorpromazine-imipramine treatment of newly hospitalized, acutely ill psychiatric patients","Current Therapeutic Research Clininical and Experimental","1966","8","Suppl","117-52","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Kutcher-1989","PUB","JOURNAL_ARTICLE","Kutcher S, Williamson P, MacKenzie S, Marton P, Ehrlich M","Successful clonazepam treatment of neuroleptic-induced akathisia in older adolescents and young adults: a double-blind, placebo-controlled study","Journal of Clinical Psychopharmacology","1989","9","","403-6","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Lerner-1979","PUB","JOURNAL_ARTICLE","Lerner Y, Lwow E, Levitin A, Belmaker RH","Acute high-dose parenteral haloperidol treatment of psychosis","American Journal of Psychiatry","1979","136","","1061-4","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Lingjaerde-1979","PUB","JOURNAL_ARTICLE","Lingjaerde O, Engstrand E, Ellingsen P, Robak OH","Antipsychotic effect of diazepam when given in addition to neuroleptics in chronic psychotic patients - A double-blind clinical trial","Current Therapeutic Research","1979","26","","505-14","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Lingjaerde-1982","PUB","JOURNAL_ARTICLE","Lingjaerde O","Effect of the benzodiazepine derivative estazolam in patients with auditory hallucinations. A multicentre double-blind, cross-over study","Acta Psychiatrica Scandinavia","1982","65","","339-54","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Ma-2006","PUB","JOURNAL_ARTICLE","Ma C","The control study of injection of clonazepam into tinggong for auditory hallucination of schizophrenia","Journal of Clinical Psychosomatic Diseases","2006","12","","338-9","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Marneros-1979","PUB","JOURNAL_ARTICLE","Marneros A","Anxiolytische Zusatzbehandlung bei den affektbetonten Schizophrenien. Ein Doppelblindversuch","Therapiewoche 29","1979","44","","7533-8","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Merlis-1962","PUB","JOURNAL_ARTICLE","Merlis S, Turner WJ, Krumholz W","A double-blind comparison of diazepam, chlordiazepoxide and chlorpromazine in psychotic patients","Journal of Neuropsychiatry","1962","3","","133-8","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Minervini-1990","PUB","JOURNAL_ARTICLE","Minervini MG, Priore P, Farolfi A, Cesana B, Morselli PL","Double blind, controlled study of the efficacy and safety of alpidem in the treatment of anxiety in schizophrenic in-patients","Pharmacopsychiatry","1990","23","","102-6","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Morphy-1986","PUB","JOURNAL_ARTICLE","Morphy M","A double-blind comparison of alprazolam and placebo in the treatment of anxious schizophrenic outpatients","Current Therapeutic Research","1986","40","","551-60","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Nestoros-1982","PUB","JOURNAL_ARTICLE","Nestoros JN, Suranyi-Cadotte BE, Spees RC, Schwartz G, Vasavan Nair NP","Diazepam in high doses is effective in schizophrenia","Progress in Neuro- Psychopharmacolgy and Biological Psychiatry","1982","6","","513-6","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Nishikawa-1982","PUB","JOURNAL_ARTICLE","Nishikawa T, Tsuda A, Tanaka M, Koga I, Uchida Y","Prophylactic effect of neuroleptics in symptom-free schizophrenics","Psychopharmacology","1982","77","","301-4","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Pujalte-1994","PUB","JOURNAL_ARTICLE","Pujalte D, Battai T, Hue B, Alric R, Pouget R, Blayac JP, et al","A double-blind comparison of clonazepam and placebo in the treatment of neuroleptic-induced akathisia","Clinical Neuropharmacology","1994","17","","236-42","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Stevens-1992","PUB","JOURNAL_ARTICLE","Stevens A, Stevens I, Mahal A, Gaertner HJ","Haloperidol and lorazepam combined: clinical effects and drug plasma levels in the treatment of acute schizophrenic psychosis","Pharmacopsychiatry","1992","25","","273-7","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-TREC_x002d_Rio-2003","PUB","JOURNAL_ARTICLE","TREC Collaborative Group","Rapid tranquillisation for agitated patients in emergency psychiatric rooms: a randomised trial of midazolam versus haloperidol plus promethiazine","BMJ","2003","327","","708-13","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Wang-2000","PUB","JOURNAL_ARTICLE","Wang G, Ji R, Pei G","the control study of injection of clonazepam into t´ingkung for refractory auditory hallucination of schizophrenics","Journal of Clinical Psychosomatic Diseases","2000","6","","143-4","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Wang-2003","PUB","JOURNAL_ARTICLE","Wang X, Wang X, Zhou H","An efficacy study of risperidone combined with clonazepam injection in the treatment of paranoid schizophrenia","Journal of Clinical Psychologic Medicine","2003","13","","217-8","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Wyant-1990","PUB","JOURNAL_ARTICLE","Wyant M, Diamond BI, O'Neal E, Sloan A, Borison RL","The use of midazolam in acutely agitated psychiatric patients","Psychopharmacology Bulletin","1990","26","","126-9","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Xuan-2007","PUB","JOURNAL_ARTICLE","Xuan GH, Chu Y","Clinical observation on the effect of risperidone combined with BZD on schizophrenia","China Tropical Medicine","2007","7","","244","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Alprazolam-1992_x002c_-USA","PUB","JOURNAL_ARTICLE","Barbee JG, Mancuso DM, Freed CR, Todorov AA","Alprazolam as a neuroleptic adjunct in the emergency treatment of schizophrenia","American Journal of Psychiatry","1992","149","","506-10","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Clonazepam-1993_x002c_-CA","PUB","JOURNAL_ARTICLE","Chouinard G, Annable L, Turnier L, Holobow N, Szkrumelak N","A double-blind randomized clinical trial of rapid tranquilization with I.M. clonazepam and I.M. haloperidol in agitated psychotic patients with manic symptoms [presented at the 143rd annual meeting of the American Psychiatric Association, NY, May 12-17, 1990, and at the 42nd annual meeting of the Canadian Psychiatric Association, Montreal, Quebec, September 17, 1992]","Canadian Journal of Psychiatry","1993","38","","S114-S121","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Clonazepam-1999_x002c_-CHN","PUB","JOURNAL_ARTICLE","Qu HF, Zhang Z, Xu B","Comparison of the effects of clonazepam and haloperidol in the treatment of psychotic breakdown behavior","Health Psychology Journal","1999","7","2","134-5","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Clonazepam-2003_x002c_-CHN","PUB","JOURNAL_ARTICLE","Yang X, Wang Z, Ling Z","A randomly controlled comparison of risperidone added with intramuscular clonazepam in the treatment of excitement of schizophrenia","Shanghai Archives of Psychiatry","2003","15","2","98-9","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Clonazepam-2004_x002c_-CHN","PUB","JOURNAL_ARTICLE","Wang G, Cai ZJ, Wang LF","A multicenter study of risperidone treatment for acute agitation in patients with schizophrenia","Chinese Journal of Psychiatry","2004","37","2","88-91","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Clonazepam-2005_x002c_-CHN","PUB","JOURNAL_ARTICLE","Han Z, Wang L, Wang J","Efficacy of risperidone, clonazepam in the treatment of excitement state of schizophrenia","Ningxia Medical Journal","2005","27","9","631-2","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Clonazepam-2007_x002c_-CHN","PUB","JOURNAL_ARTICLE","Zhang HS","Study of olanzapine combined with clonazepam in treatment of schizophrenia with acute psychomotor excitation","Linchuang Jingshen Yixue Zazhi","2007","17","4","239-40","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Diazepam-1979_x002c_-IL","PUB","JOURNAL_ARTICLE","Lerner Y, Lwow E, Levitin A, Belmaker RH","Acute high-dose parenteral haloperidol treatment of psychosis","American Journal of Psychiatry","1979","136","","1061-4","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Flunitrazepam-1999_x002c_-IL","PUB","JOURNAL_ARTICLE","Dorevitch A, Katz N, Zemishlany Z, Aizenberg D, Weizman A","Intramuscular flunitrazepam versus intramuscular haloperidol in the emergency treatment of aggressive psychotic behavior","American Journal of Psychiatry","1999","156","","142-4","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-1989_x002c_-USA","PUB","JOURNAL_ARTICLE","Garza-Trevino ES, Hollister LE, Overall JE, Alexander WF","Efficacy of combinations of intramuscular antipsychotics and sedative-hypnotics for control of psychotic agitation [presented in part at the 141st annual meeting of the American Psychiatric Association, Montreal, May 7-12, 1988, and at the 142nd annual meeting of the American Psychiatric Association, San Fransisco, May 6-11, 1989]","American Journal of Psychiatry","1989","146","","1598-601","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-1991_x002c_-USA","PUB","JOURNAL_ARTICLE","Salzman C, Solomon D, Miyawaki E, Glassman R","Parenteral lorazepam versus parenteral haloperidol for the control of psychotic disruptive behavior","Journal of Clinical Psychiatry","1991","52","4","177-80","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-1991_x002c_-USA","PUB","JOURNAL_ARTICLE","Solomon DA, Miyawaki E, Salzman C","Benzodiazepine augmentation of the treatment of disruptive psychotic behaviour [Review]","Progress in Drug Research","1990","35","","139-49","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-1997_x002c_-USA","PUB","JOURNAL_ARTICLE","Battaglia J, Moss S, Rush J, Kang J, Mendoza R, Leedom L","Haloperidol, lorazepam, or both for psychotic agitation? A multicenter, prospective, double-blind, emergency department study","American Journal of Emergency Medicine","1997","15","","335-40","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-1997a_x002c_-USA","PUB","JOURNAL_ARTICLE","Foster S, Kessel J, Berman ME, Simpson GM","Efficacy of lorazepam and haloperidol for rapid tranquilization in a psychiatric emergency room setting","International Clinical Psychopharmacology","1997","12","","175-9","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-1998_x002c_-SA","PUB","JOURNAL_ARTICLE","Subramaney U, Brook S, Berk M","A prospective randomised double-blind controlled study of the efficacy of lorazepam versus clothiapine in the control of acutely behaviourally disturbed patients","South African Medical Journal","1998","88","3","307-10","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-1998_x002c_-USA","PUB","JOURNAL_ARTICLE","Bieniek SA, Ownby RL, Penalver A, Dominguez RA","A double-blind study of lorazepam versus the combination of haloperidol and lorazepam in managing agitation","Pharmacotherapy","1998","18","","57-62","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-2001_x002c_-RO-_x0026_-USA","PUB","JOURNAL_ARTICLE","Battaglia J, Lindborg SR, Alaka K, Meehan K, Wright P","Calming versus sedative effects of intramuscular olanzapine in agitated patients","American Journal of Emergency Medicine","2003","21","3","192-8","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-2001_x002c_-RO-_x0026_-USA","PUB","JOURNAL_ARTICLE","Breier A, Meehan K, Birkett M, David S, Ferchland I, Sutton V, et al","A double-blind, placebo-controlled dose-response comparison of intramuscular olanzapine and haloperidol in the treatment of acute agitation in schizophrenia","Archives of General Psychiatry","2002","59","5","441-8","","[{'value': '10.1001/archpsyc.59.5.441', 'type': 'DOI'}]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-2001_x002c_-RO-_x0026_-USA","PUB","CONFERENCE_PROC","David SR, Battaglia J, Alaka K, Meehan K, Wright P","Calming versus sedative effects of IM olanzapine in agitated patients","11th Association of European Psychiatrists Congress","May 4-8, 2002","17","Suppl 1","104s","Stockholm, Sweden","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-2001_x002c_-RO-_x0026_-USA","PUB","CONFERENCE_PROC","David SR, Jones B, Alaka K, Meehan K, Wright P, Taylor CC, et al","The efficacy of intramuscular olanzapine in acutely agitated patients","155th Annual Meeting of the American Psychiatric Association","May 18-23, 2002","","","","Philadelphia, PA, USA","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-2001_x002c_-RO-_x0026_-USA","PUB","JOURNAL_ARTICLE","Meehan KZ","A double-blind, randomized comparison of the efficacy and safety of intramuscular injections of olanzapine, lorazepam, or placebo in treating acutely agitated patients diagnosed with bipolar mania","Journal of Clinical Psychopharmacology","2001","21","4","389-97","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-2004_x002c_-IN","PUB","JOURNAL_ARTICLE","Alexander J, John T, Tharyan P, Adams CE","TREC-India. A second arm of TREC","Schizophrenia Research","2002","53","3 Suppl. 1","236","","[{'value': ' 73085373', 'type': 'MEDLINE'}, {'value': 'PMID 4405388', 'type': 'OTHER'}]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-2004_x002c_-IN","PUB","JOURNAL_ARTICLE","Alexander J, Tharyan P, Adams CE, John T, Mol C, Philip J","Rapid tranquillisation of violent or agitated patients in a psychiatric emergency setting: a pragmatic randomised trial of intramuscular lorazepam versus haloperidol plus promethazine","British Journal of Psychiatry","2004","185","","63-9","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-2004_x002c_-IN","PUB","OTHER","Alexander J","Lorazepam versus a combination of haloperidol and promethazine in the acute management of agitation and aggression - a randomized controlled trial","MD Thesis. Vellore, India: Christian Medical College","2003","","","","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-2006_x002c_-USA","PUB","JOURNAL_ARTICLE"," Veser FH, Veser BD, McMullan JT, Zealberg J, Currier GW","Risperidone versus haloperidol, in combination with lorazepam, in the treatment of acute agitation and psychosis: a pilot, Randomized, double-blind, placebo-controlled trial","Journal of Psychiatric Practice","2006","12","2","103-8","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Lorazepam-2006_x002c_-USA","PUB","JOURNAL_ARTICLE","Veser F, Zealburg J, Veser B, Zhu Y, Gharabawi G","Oral risperidone in the management of agitated behavior in emergency settings","Journal of the European College of Neuropsychopharmacology","2002","12","Suppl 3","S313","","[]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Midazolam-2003_x002c_-BZ","PUB","JOURNAL_ARTICLE","Huf G, Coutinho ESF, Adams CE","TREC III. The protocol and progress of TREC","Schizophrenia Research","2002","53","3 Suppl. 1","187","","[{'value': '73085373', 'type': 'MEDLINE'}, {'value': 'PMID 4405388', 'type': 'OTHER'}]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Midazolam-2003_x002c_-BZ","PUB","JOURNAL_ARTICLE","Huf G, Coutinho ESF, Adams CE","TREC-Rio trial: a randomised controlled trial for rapid tranquillisation for agitated patients in emergency psychiatric rooms","BMC Psychiatry","2002","2","11","4","","[{'value': 'EMBASE 2002383527', 'type': 'OTHER'}]"
"../ALL-2015-06/A-B/Benzodiazepines for psychosis-induced aggression or agitation [v8.0-For publication].rm5","STD-Midazolam-2003_x002c_-BZ","PUB","CONFERENCE_PROC","Huf G, Coutinho ESF, Adams CE","The pharmacological management of agitated patients in emergency psychiatric hospitals in Rio de Janeiro, Brazil: the results of two pragmatic randomized clinical trials","5th European Congress on Violence in Clinical Psychiatry","25-27 October 2007","","",""," Amsterdam, The Netherlands. 2007","[]"
