"file","id","modified","result","result_description","rob_name","rob_id","rob_description","group_id","group_name"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Rossi-1992","2011-02-14 15:34:50 +0000","UNKNOWN","Insufficient information.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Smeraldi-1990","2011-06-30 18:08:54 +0100","UNKNOWN","Randomised (no information about randomisation procedure).","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Smeraldi-1990","2011-02-14 13:12:35 +0000","UNKNOWN","No information provided.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Smeraldi-1990","2011-02-15 11:07:57 +0000","UNKNOWN","Quote: ""The placebo and bromperidol phials were perfectly identical"". ","Blinding (performance bias and detection bias)","QIT-03","Performance bias or detection bias due to knowledge of the allocated interventions after assignment","QIG-03.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Smeraldi-1990","2011-03-23 15:56:49 +0000","UNKNOWN","Unclear if raters were independent and unclear if blinding was successful.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Smeraldi-1990","2011-03-23 15:57:06 +0000","UNKNOWN","Insufficient information.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Smeraldi-1990","2011-02-14 18:12:43 +0000","NO","Rating scale scores reported without denominator.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Smeraldi-1990","2011-02-15 12:25:18 +0000","NO","No endpoint scores (DOTES, SAFTEE-SI), vital signs measures.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/A-B/Bromperidol decanoate (depot) for schizophrenia [v9.0-For publication].rm5","STD-Smeraldi-1990","2011-02-14 15:34:56 +0000","UNKNOWN","Insufficient information.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Azima-1962","2011-05-18 14:16:46 +0100","UNKNOWN","Randomly assigned; no further details.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Azima-1962","2011-05-18 14:16:46 +0100","UNKNOWN","No further details.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Azima-1962","2012-10-02 11:05:10 +0100","YES","“Multi-blind”; “identical placebos”.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Azima-1962","2012-10-02 11:05:12 +0100","UNKNOWN","“Multi-blind”; “evaluation of drug effects is made by different members of the research team and the final conclusion is the result of pooling of the multiple observations”.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Azima-1962","2011-10-13 05:57:06 +0100","YES","No participant left the trial early.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.02","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Azima-1962","2012-04-20 10:11:05 +0100","UNKNOWN","The outcomes that are of interest in the review have been reported in the pre-specific way. The adverse effects were not fully addressed.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Azima-1962","2012-10-02 11:05:19 +0100","NO","Regarding this review the main focus on the anti-anxiety effect of the medication to judge improvement could be a possible risk of bias.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Barbee-1992","2011-05-18 14:17:28 +0100","UNKNOWN","Randomly assigned; no further details.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Barbee-1992","2011-05-18 14:17:28 +0100","UNKNOWN","No further details.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Barbee-1992","2011-05-18 14:17:39 +0100","YES","“Double-blind”; “identically appearing placebo tablet”","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Barbee-1992","2011-05-18 14:17:40 +0100","YES","Two investigators administered the scales and were blind to each other’s ratings and the drug assignment.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Barbee-1992","2011-10-13 05:57:10 +0100","YES","No participant left the trial early.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.02","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Barbee-1992","2011-10-08 15:20:42 +0100","NO","The outcomes that are of interest in the review were not fully addressed (Simpson and Angus Scale). The adverse effects were not fully addressed (only the five most frequent).","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Barbee-1992","2011-05-18 14:17:51 +0100","YES","The study appears to be free of other sources of bias.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Battaglia-1997","2011-05-18 14:18:20 +0100","YES","Participants were ""sequentially assigned on the basis of a computer-generated table of random numbers.""","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Battaglia-1997","2011-05-18 15:19:09 +0100","UNKNOWN","No further details.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Battaglia-1997","2011-05-18 14:18:22 +0100","YES","""Double-blind"". ""The emergency department psychiatrist who treated and rated the patient remained blinded to the identity of the patient’s medication throughout treatment."" The non-blinding of others is unlikely to introduce bias. The ""syringes containing the study drug were prepared by a non-blinded nurse or hospital pharmacist and delivered to the emergency department as needed.""","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Battaglia-1997","2011-05-18 14:18:23 +0100","YES","""Double-blind"". ""The emergency department psychiatrist who treated and rated the patient remained blinded to the identity of the patient’s medication throughout treatment."" The non-blinding of others is unlikely to introduce bias.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Battaglia-1997","2011-10-13 05:57:17 +0100","YES","No participant left the trial early. ""Data for two patients were excluded from the efficacy analysis because of receiving antipsychotic medication shortly before entering the study."" Due to the low attrition the risk of bias might be rather low.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.02","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Battaglia-1997","2011-05-18 14:18:25 +0100","YES","The outcomes that are of interest in the review have been reported in the pre-specific way.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Battaglia-1997","2011-10-06 15:06:12 +0100","UNKNOWN","Insufficient information to assess whether an important risk of bias exists.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Carpenter-1999","2011-05-18 14:18:45 +0100","UNKNOWN","“A stratified randomization procedure was used to assign drug treatment to balance study groups on gender, prior social function, and past duration of hospital care.” No further details.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Carpenter-1999","2011-05-18 14:18:45 +0100","UNKNOWN","No further details.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Carpenter-1999","2011-05-18 14:18:45 +0100","UNKNOWN","“Double-blind”; no further details.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Carpenter-1999","2011-05-18 14:18:45 +0100","UNKNOWN","“Double-blind”; no further details.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Carpenter-1999","2011-10-13 05:57:24 +0100","YES","No participant left the trial early.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.02","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Carpenter-1999","2011-10-08 15:21:04 +0100","NO","The outcomes that are of interest in the review were not fully addressed. The trial authors did not provide raw data of the BPRS total score or the CGI. Reporting on adverse effects was incomplete.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Carpenter-1999","2011-05-18 14:18:45 +0100","UNKNOWN","Insufficient information to assess whether an important risk of bias exists.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Cheung-1981","2011-05-18 14:19:06 +0100","UNKNOWN","Randomly assigned; no further details.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Cheung-1981","2011-05-18 14:19:07 +0100","UNKNOWN","No further details.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Cheung-1981","2011-05-18 14:19:07 +0100","UNKNOWN","“Double-blind”; no further details.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Cheung-1981","2011-05-18 14:19:07 +0100","UNKNOWN","“Double-blind”; no further details.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Cheung-1981","2012-07-26 16:43:10 +0100","YES","Two participants left the trial early in the benzodiazepine group, the total number of patients leaving the trial early is rather low (6.7%). The analysis was based on completer data, but due to the low attrition the risk of bias might be rather low. Additionally, the trial authors provided a worst-case-scenario analysis.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.02","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Cheung-1981","2012-04-20 10:13:05 +0100","UNKNOWN","The outcomes that are of interest in the review have been reported in the pre-specific way. The adverse effects were not fully addressed.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Cheung-1981","2011-10-06 15:06:56 +0100","UNKNOWN","Insufficient information to assess whether an important risk of bias exists.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Chouinard-1993","2011-05-18 14:19:34 +0100","UNKNOWN","Randomly assigned; no further details.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Chouinard-1993","2011-05-18 14:19:34 +0100","UNKNOWN","No further details.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Chouinard-1993","2011-10-13 05:24:41 +0100","YES","“Double-blind”. “To ensure double-blind conditions, the clonazepam group received procyclidine placebo with each dose.” The nurse administering the drugs i.m. injections “was not blind to the treatment allocations”, but this was unlikely to introduce bias.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Chouinard-1993","2011-05-18 14:20:04 +0100","YES","“Double-blind”. The evaluating psychiatrist was blind to treatment allocations.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Chouinard-1993","2012-07-26 16:11:28 +0100","YES","One participant left the trial early in the benzodiazepine group; the total number of patients leaving the trial early is rather low (6.25%). The trial authors did not provide any information how they considered with the drop-out in the analysis, but due to the low attrition the risk of bias might be rather low.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.02","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Chouinard-1993","2011-10-08 15:21:13 +0100","YES","The outcomes that are of interest in the review have been reported in the pre-specific way with the exception of adverse effects, which were not fully addressed.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Chouinard-1993","2012-04-20 10:13:55 +0100","YES","“Of the 16 patients, 12 (6 in each group) were receiving neuroleptics at study entry.”","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Dorevitch-1999","2011-05-18 14:20:42 +0100","YES","“Patients were assigned by a table of random numbers.” No further details. ","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Dorevitch-1999","2011-05-18 14:20:49 +0100","UNKNOWN","No further details. ","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Dorevitch-1999","2011-05-18 14:20:27 +0100","UNKNOWN","“Double-blind“; no further details.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Dorevitch-1999","2011-05-18 14:20:52 +0100","YES","“Double-blind”; ”All ratings were completed by the same rater, who was blind to the study medications.” Comment: Probably done.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Dorevitch-1999","2011-10-13 05:57:29 +0100","YES","No participant left the trial early.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.02","All outcomes"
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Dorevitch-1999","2011-05-18 14:20:56 +0100","NO","The outcomes that are of interest in the review were not fully addressed (e.g. SDs are missing). Adverse effects were not fully addressed.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Dorevitch-1999","2012-04-20 10:15:26 +0100","UNKNOWN","Antipsychotic drug treatment in both study groups additionally to flunitrazepam and haloperidol. Four patients were taking additional medications including mood stabilizers and lorazepam.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Foster-1997","2011-05-18 14:21:14 +0100","UNKNOWN","Randomly assigned; no further details.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Foster-1997","2011-05-18 14:21:14 +0100","UNKNOWN","No further details.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/A-B/Benzodiazepines for schizophrenia [v5.4-For publication].rm5","STD-Foster-1997","2011-05-18 14:21:14 +0100","UNKNOWN","“Double-blind”; no further details","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
